ID,Words,POS,Position,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft,,replace,for
66,Ainsi,ADV,1,normal,,0.098520992,,,,,,,,,
66,un,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
66,mur,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
66,cache,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
66,tout,ADV,5,normal,0.237261252,,,,,,,,,,
67,Enfin,ADV,1,normal,,0.098520992,,,,,,,,,
67,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
67,biscuits,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
67,cuisent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
67,rapidement,ADV,5,normal,0.237261252,,,,,,,,,,
68,Finalement,ADV,1,normal,,0.098520992,,,,,,,,,
68,la,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
68,ville,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
68,est,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
68,vide,ADJ,5,normal,0.042561628,,,,,,,,,,
69,Or,CON,1,normal,,0.069895038,,,,,,,,,
69,le,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
69,lutin,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
69,travaille,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
69,seul,ADJ,5,normal,0.042561628,,,,,,,,,,
70,Alors,ADV,1,normal,,0.122148894,,,,,,,,,
70,ce,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
70,toit,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
70,glisse,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
70,fortement,ADV,5,normal,0.237261252,,,,,,,,,,
71,Comme,ADV,1,normal,,0.098520992,,,,,,,,,
71,une,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
