item_nr;prime;all;target;condition
188;seineur;seineur;seineur;stem/suffix
189;busion;busion;busion;stem/suffix
190;toiteur;toiteur;toiteur;stem/suffix
191;glacable;glacable;glacable;stem/suffix
192;champeux;champeux;champeux;stem/suffix
193;filmeux;filmeux;filmeux;stem/suffix
194;volment;volment;volment;stem/suffix
195;halleux;halleux;halleux;stem/suffix
196;facement;facement;facement;stem/suffix
197;fantômement;fantômement;fantômement;stem/suffix
198;arrêtment;arrêtment;arrêtment;stem/suffix
199;boision;boision;boision;stem/suffix
200;pouletable;pouletable;pouletable;stem/suffix
201;chienion;chienion;chienion;stem/suffix
202;biscuitable;biscuitable;biscuitable;stem/suffix
203;garsable;garsable;garsable;stem/suffix
204;têtement;têtement;têtement;stem/suffix
205;troument;troument;troument;stem/suffix
206;airement;airement;airement;stem/suffix
207;sourisment;sourisment;sourisment;stem/suffix
208;laitment;laitment;laitment;stem/suffix
209;lunement;lunement;lunement;stem/suffix
210;nuiteur;nuiteur;nuiteur;stem/suffix
211;nidion;nidion;nidion;stem/suffix
212;parcable;parcable;parcable;stem/suffix
213;chevalion;chevalion;chevalion;stem/suffix
214;pointment;pointment;pointment;stem/suffix
215;rouement;rouement;rouement;stem/suffix
216;droiteux;droiteux;droiteux;stem/suffix
217;jusion;jusion;jusion;stem/suffix
218;sablion;sablion;sablion;stem/suffix
219;trésorion;trésorion;trésorion;stem/suffix
220;sension;sension;sension;stem/suffix
221;pistement;pistement;pistement;stem/suffix
222;pierrement;pierrement;pierrement;stem/suffix
223;fronteux;fronteux;fronteux;stem/suffix
224;jourable;jourable;jourable;stem/suffix
225;tapisable;tapisable;tapisable;stem/suffix
226;tablement;tablement;tablement;stem/suffix
227;poteux;poteux;poteux;stem/suffix
228;tunnelion;tunnelion;tunnelion;stem/suffix
229;mureux;mureux;mureux;stem/suffix
230;mondement;mondement;mondement;stem/suffix
231;ventable;ventable;ventable;stem/suffix
232;blaguement;blaguement;blaguement;stem/suffix
233;loupeux;loupeux;loupeux;stem/suffix
234;motieux;motieux;motieux;stem/suffix
235;denteur;denteur;denteur;stem/suffix
236;tempsable;tempsable;tempsable;stem/suffix
237;tentement;tentement;tentement;stem/suffix
238;traineux;traineux;traineux;stem/suffix
239;fourmi;fourmi;fourmi;REALWORD/simple
240;asphalte;asphalte;asphalte;REALWORD/simple
241;banane;banane;banane;REALWORD/simple
242;basilic;basilic;basilic;REALWORD/simple
243;coutume;coutume;coutume;REALWORD/simple
244;brosse;brosse;brosse;REALWORD/simple
245;diamant;diamant;diamant;REALWORD/simple
246;douche;douche;douche;REALWORD/simple
247;succès;succès;succès;REALWORD/simple
248;flamme;flamme;flamme;REALWORD/simple
249;girafe;girafe;girafe;REALWORD/simple
250;guitare;guitare;guitare;REALWORD/simple
251;auberge;auberge;auberge;REALWORD/simple
252;collègue;collègue;collègue;REALWORD/simple
